tan,rad,n,a1,midpoint,result
2,15,20,2.25,0.07999999999999999,245.44343988871705
2,15,20,2.25,0.16,787.5294279577557
2,15,20,3.5,-0.16,507.5665006724947
2,15,20,3.5,-0.08,212.53765420664615
2,15,20,3.5,0.0,21.27912762230803
2,15,20,3.5,0.07999999999999999,237.91363682328443
2,15,20,3.5,0.16,623.9098385751414
2,15,20,4.75,-0.16,515.3432955831612
2,15,20,4.75,-0.08,213.54837214571754
2,15,20,4.75,0.0,23.525601988591085
2,15,20,4.75,0.07999999999999999,246.61968785445683
2,15,20,4.75,0.16,691.1528892974361
2,15,20,6.0,-0.16,556.5117807132866
2,15,20,6.0,-0.08,227.18121420417546
2,15,20,6.0,0.0,24.453754800615435
2,15,20,6.0,0.07999999999999999,255.84057794557833
2,15,20,6.0,0.16,716.4857602055146
10,2,2,1.0,-0.16,40.044460912728795
10,2,2,1.0,-0.08,32.062625791001174
10,2,2,1.0,0.0,28.821950950365085
10,2,2,1.0,0.07999999999999999,27.708930998301298
10,2,2,1.0,0.16,16.299754488150313
10,2,2,2.25,-0.16,38.651377003946905
10,2,2,2.25,-0.08,31.559064527891938
10,2,2,2.25,0.0,28.821950950365075
10,2,2,2.25,0.07999999999999999,29.927160935216705
10,2,2,2.25,0.16,27.643998015061275
10,2,2,3.5,-0.16,40.37349168154028
10,2,2,3.5,-0.08,32.181561304146626
10,2,2,3.5,0.0,28.821950950365075
10,2,2,3.5,0.07999999999999999,30.54965771147158
10,2,2,3.5,0.16,31.34428787979587
10,2,2,4.75,-0.16,42.46194216035726
10,2,2,4.75,-0.08,32.936478329907594
10,2,2,4.75,0.0,28.821950950365075
10,2,2,4.75,0.07999999999999999,31.304574737232446
10,2,2,4.75,0.16,33.43273835861065
10,2,2,6.0,-0.16,43.82348231398463
10,2,2,6.0,-0.08,33.728270045646546
10,2,2,6.0,0.0,28.821950950365068
10,2,2,6.0,0.07999999999999999,32.09636645297138
10,2,2,6.0,0.16,25.639877963184134
10,2,10,1.0,-0.16,165.61787443967953
10,2,10,1.0,-0.08,132.35165196882573
10,2,10,1.0,0.0,47.42938586131284
10,2,10,1.0,0.07999999999999999,11.304986072689628
10,2,10,1.0,0.16,7.786654485697868
10,2,10,2.25,-0.16,159.19025223201535
10,2,10,2.25,-0.08,148.30610943236852
10,2,10,2.25,0.0,148.44578099560852
10,2,10,2.25,0.07999999999999999,77.95637539008538
10,2,10,2.25,0.16,8.95417142262604
10,2,10,3.5,-0.16,125.82039643122593
10,2,10,3.5,-0.08,111.74931022296299
10,2,10,3.5,0.0,104.042168551129
10,2,10,3.5,0.07999999999999999,106.95791905811018
10,2,10,3.5,0.16,47.60432891387381
10,2,10,4.75,-0.16,108.36355388109537
10,2,10,4.75,-0.08,94.07613461873935
10,2,10,4.75,0.0,85.38970496808948
10,2,10,4.75,0.07999999999999999,84.57707100840511
10,2,10,4.75,0.16,75.9035975206241
10,2,10,6.0,-0.16,98.50034410038015
10,2,10,6.0,-0.08,84.57601006070614
10,2,10,6.0,0.0,76.22410157040626
10,2,10,6.0,0.07999999999999999,75.65081907366725
10,2,10,6.0,0.16,62.979517544548806
10,2,20,1.0,-0.16,206.9913205253697
10,2,20,1.0,-0.08,229.00790296709923
10,2,20,1.0,0.0,90.19147039632968
10,2,20,1.0,0.07999999999999999,6.570311630305502
10,2,20,1.0,0.16,5.266801029898767
10,2,20,2.25,-0.16,323.0139012832887
10,2,20,2.25,-0.08,305.54738182750117
10,2,20,2.25,0.0,310.6906198744371
10,2,20,2.25,0.07999999999999999,104.50888626147531
10,2,20,2.25,0.16,5.048895610865637
10,2,20,3.5,-0.16,243.03298987141105
10,2,20,3.5,-0.08,217.54979592324113
10,2,20,3.5,0.0,203.96164227140642
10,2,20,3.5,0.07999999999999999,211.82250831365874
10,2,20,3.5,0.16,62.2583143606168
10,2,20,4.75,-0.16,198.03244416417613
10,2,20,4.75,-0.08,171.619432477013
10,2,20,4.75,0.0,154.70546939066455
10,2,20,4.75,0.07999999999999999,152.21877558143618
10,2,20,4.75,0.16,105.7955297067301
10,2,20,6.0,-0.16,169.6097214153068
10,2,20,6.0,-0.08,143.91191880997545
10,2,20,6.0,0.0,126.96150670574386
10,2,20,6.0,0.07999999999999999,122.51436670508193
10,2,20,6.0,0.16,91.87886380273821
10,10,2,1.0,-0.16,474.6031254984965
10,10,2,1.0,-0.08,356.800450418487
10,10,2,1.0,0.0,157.2828724915505
10,10,2,1.0,0.07999999999999999,324.6295797804413
10,10,2,1.0,0.16,520.0095874553857
10,10,2,2.25,-0.16,653.9767528080395
10,10,2,2.25,-0.08,477.01907251219205
10,10,2,2.25,0.0,317.9314215349827
10,10,2,2.25,0.07999999999999999,459.0177432503125
10,10,2,2.25,0.16,644.006828623788
10,10,2,3.5,-0.16,734.9757227155028
10,10,2,3.5,-0.08,587.9503999931546
