parabola_slope,midpoint,Na_arc,Na_rad,N_col,max_mass,bridge_weight,max_L
1,0.0,10,2,20,90.1914703963341,0.09401374074423728,0.25
1,0.0,10,10,2,157.2828724915505,0.1550237599712671,0.2576941016011038
1,0.0,10,10,10,162.11366811282267,0.3706637843880604,0.25
1,0.0,10,10,20,162.12130184817917,0.6535642637660062,0.25
1,0.0,10,20,2,157.28287249155196,0.4099102531232713,0.2576941016011038
1,0.0,10,20,10,162.11366811282048,1.2706076244755473,0.25
1,0.0,10,20,20,162.12130184821115,2.4021596482090337,0.25
1,0.0,20,2,2,28.821950950365075,0.2836448689244229,0.2576941016011038
1,0.0,20,2,10,47.42938586131398,0.29472926863675886,0.25
1,0.0,20,2,20,90.19147039634791,0.30611114759922803,0.25
1,0.0,20,10,2,629.1314899661991,0.36520854673306424,0.2576941016011038
1,0.0,20,10,10,648.4546724512821,0.5827112974647547,0.25
1,0.0,20,10,20,648.4852073927201,0.8656616706209969,0.25
1,0.0,20,20,2,629.131489966202,0.6200950398850684,0.2576941016011038
1,0.0,20,20,10,648.4546724512907,1.4826551375522417,0.25
1,0.0,20,20,20,648.4852073927167,2.6142570550640247,0.25
1,0.16,2,2,2,2.9922371052324968,0.01064834195936416,0.46303364888526455
1,0.16,2,2,10,3.810682706459153,0.02899754470091815,0.46303364888526455
1,0.16,2,2,20,4.068296238549855,0.05102949849682411,0.46303364888526455
1,0.16,2,10,2,84.28394358151333,0.15694973696281952,0.46303364888526455
1,0.16,2,10,10,133.8672458714453,0.507251440132692,0.46303364888526455
1,0.16,2,10,20,152.77623745187302,0.9918914824755053,0.46303364888526455
1,0.16,2,20,2,331.8546209590953,0.6141415963486175,0.46303364888526455
1,0.16,2,20,10,510.7227906771251,2.001794863356985,0.46303364888526455
1,0.16,2,20,20,544.1937428794567,3.9320851824088843,0.46303364888526455
1,0.16,10,2,2,16.299754488150313,0.11990715398064862,0.46303364888526455
1,0.16,10,2,10,7.786654485697843,0.24668472209117998,0.46303364888526455
1,0.16,10,2,20,5.26680102989912,0.33487547844192117,0.46303364888526455
1,0.16,10,10,2,520.0095874553857,0.266208548984104,0.46303364888526455
1,0.16,10,10,10,662.2441579392242,0.7249386175229537,0.46303364888526455
1,0.16,10,10,20,688.0658928761266,1.2757374624206026,0.46303364888526455
1,0.16,10,20,2,1572.6292902058085,0.723400408369902,0.46303364888526455
1,0.16,10,20,10,1437.1186741479105,2.2194820407472466,0.46303364888526455
1,0.16,10,20,20,1079.4833983037,4.215931162353981,0.46303364888526455
1,0.16,20,2,2,26.81891020997325,0.4613409415471626,0.46303364888526455
1,0.16,20,2,10,8.215066353349142,0.9269571514357482,0.46303364888526455
1,0.16,20,2,20,5.32717807105656,1.2218941657703495,0.46303364888526455
1,0.16,20,10,2,975.3177850382123,0.607642336550618,0.46303364888526455
1,0.16,20,10,10,673.5005711410267,1.4052110468675219,0.46303364888526455
1,0.16,20,10,20,607.8286027980406,2.1627561497490313,0.46303364888526455
1,0.16,20,20,2,2080.038349821543,1.064834195936416,0.46303364888526455
1,0.16,20,20,10,2648.976631756897,2.899754470091815,0.46303364888526455
1,0.16,20,20,20,2752.263571504506,5.10294984968241,0.46303364888526455
4,-0.16,2,2,2,9.475252007017458,0.011531688446727178,0.41000000000000003
4,-0.16,2,2,10,33.21788420536915,0.041998808180580896,0.41000000000000003
4,-0.16,2,2,20,32.473563755328904,0.07994056203218397,0.41000000000000003
4,-0.16,2,10,2,84.66575446518561,0.1960134436849714,0.41000000000000003
4,-0.16,2,10,10,239.55784602398515,0.9535865111177816,0.41000000000000003
4,-0.16,2,10,20,237.59837739990675,1.9020383639015916,0.41000000000000003
4,-0.16,2,20,2,319.6360746469612,0.7725189288044846,0.41000000000000003
4,-0.16,2,20,10,884.3702267071651,3.8022980827965345,0.41000000000000003
4,-0.16,2,20,20,878.6134200392122,7.596093994743489,0.41000000000000003
4,-0.16,10,2,2,41.188694725969235,0.1038104559299352,0.41000000000000003
4,-0.16,10,2,10,117.5775763515039,0.1383825015773214,0.41000000000000003
4,-0.16,10,2,20,222.2745293623712,0.17641624893519153,0.41000000000000003
4,-0.16,10,10,2,743.5749491467525,0.28829221116817944,0.41000000000000003
4,-0.16,10,10,10,830.4471051342236,1.0499702045145223,0.41000000000000003
4,-0.16,10,10,20,811.839093883224,1.9985140508045995,0.41000000000000003
4,-0.16,10,20,2,1912.342587125909,0.8647976962876927,0.41000000000000003
4,-0.16,10,20,10,1475.2594858173989,3.898681776193275,0.41000000000000003
4,-0.16,10,20,20,1452.8541365225328,7.692569681646498,0.41000000000000003
4,-0.16,20,2,2,40.590137422507006,0.39218160431496024,0.41000000000000003
4,-0.16,20,2,10,116.36279331730863,0.4395815434421355,0.41000000000000003
4,-0.16,20,2,20,219.92612053871463,0.47790277050709007,0.41000000000000003
4,-0.16,20,10,2,1064.5697733184252,0.5766633595532045,0.41000000000000003
4,-0.16,20,10,10,2676.97603985373,1.3511692463793363,0.41000000000000003
4,-0.16,20,10,20,2606.3413328935862,2.3000005723764976,0.41000000000000003
4,-0.16,20,20,2,2974.29979658701,1.1531688446727177,0.41000000000000003
4,-0.16,20,20,10,3321.7884205368946,4.199880818058089,0.41000000000000003
4,-0.16,20,20,20,3247.356375532896,7.994056203218398,0.41000000000000003
4,0.0,2,2,2,4.525750837153138,0.009282527165709757,0.3535533905932738
4,0.0,2,2,10,22.43603577794646,0.029271779086288384,0.25
4,0.0,2,2,20,22.45810296425258,0.05428329717920672,0.25
4,0.0,2,10,2,4.525750837153118,0.1397844116595359,0.3535533905932738
4,0.0,2,10,10,22.436035777946305,0.6353960993943513,0.25
4,0.0,2,10,20,22.458102964251793,1.2606034416301277,0.25
4,0.0,2,20,2,4.525750837153118,0.5476028007027426,0.3535533905932738
4,0.0,2,20,10,22.436035777946127,2.529534600357048,0.25
4,0.0,2,20,20,22.45810296425559,5.0303538930392575,0.25
4,0.0,10,2,2,28.821950950365075,0.10156129464891778,0.3535533905932738
4,0.0,10,2,10,94.85877172262471,0.1256701568491468,0.25
4,0.0,10,2,20,180.38294079266433,0.15076228502924666,0.25
4,0.0,10,10,2,458.55443169065717,0.23206317914274394,0.3535533905932738
4,0.0,10,10,10,560.9008944486608,0.7317944771572096,0.25
4,0.0,10,10,20,561.4525741063156,1.357082429480168,0.25
4,0.0,10,20,2,458.55443169065694,0.6398815681859507,0.3535533905932738
4,0.0,10,20,10,560.9008944486669,2.6259329781199057,0.25
4,0.0,10,20,20,561.4525741063151,5.126832880889298,0.25
4,0.0,20,2,2,28.821950950365075,0.3899324430339428,0.3535533905932738
4,0.0,20,2,10,94.85877172262563,0.42691508735807937,0.25
4,0.0,20,2,20,180.38294079266913,0.4522591220606215,0.25
4,0.0,20,10,2,720.5487737591268,0.520434327527769,0.3535533905932738
4,0.0,20,10,10,2243.603577794653,1.0330394076661422,0.25
4,0.0,20,10,20,2245.810296425243,1.658579266511543,0.25
4,0.0,20,20,2,1834.2177267626287,0.9282527165709757,0.3535533905932738
4,0.0,20,20,10,2243.603577794643,2.9271779086288383,0.25
4,0.0,20,20,20,2245.8102964252625,5.428329717920672,0.25
